itrial,d,method,coverage,width
35,55,naive,0.41,2.0945852509564706
35,55,jackknife,0.92,5.021928867101462
35,55,jackknife+,0.92,5.241563714933366
35,55,jackknife-mm,0.97,6.216832980072878
35,55,CV+,0.94,5.494357062466927
35,55,split,0.89,6.530628387769867
36,55,naive,0.56,2.1681175587569426
36,55,jackknife,0.89,5.470036644589071
36,55,jackknife+,0.87,5.263505885539953
36,55,jackknife-mm,0.97,6.862889229382279
36,55,CV+,0.94,6.469487360443893
36,55,split,0.97,10.320818487304708
37,55,naive,0.51,2.169687450665436
37,55,jackknife,0.91,4.570846338335684
37,55,jackknife+,0.91,4.7111625908570725
37,55,jackknife-mm,0.92,5.652746846804684
37,55,CV+,0.92,5.2572597094016125
37,55,split,0.98,13.328811668425237
38,55,naive,0.47,1.9120609119576915
38,55,jackknife,0.82,4.576614985566338
38,55,jackknife+,0.82,4.586883319370522
38,55,jackknife-mm,0.91,5.683345210364974
38,55,CV+,0.87,5.073193045239514
38,55,split,0.82,7.789621001703466
39,55,naive,0.49,2.1519247763424145
39,55,jackknife,0.83,4.756419238665093
39,55,jackknife+,0.84,4.9115876817243205
39,55,jackknife-mm,0.9,5.876224528668051
39,55,CV+,0.87,5.408401469604502
39,55,split,0.87,12.393969449666411
40,55,naive,0.59,2.3696928257961587
40,55,jackknife,0.95,5.189317147713963
40,55,jackknife+,0.96,5.397626139448457
40,55,jackknife-mm,0.99,6.564334950972002
40,55,CV+,0.98,6.689753469755143
40,55,split,0.99,11.006403949950377
41,55,naive,0.55,2.2592243589201377
41,55,jackknife,0.92,4.92624013577586
41,55,jackknife+,0.91,4.905357611763119
41,55,jackknife-mm,0.98,6.042266749312395
41,55,CV+,0.97,5.5062139762875475
41,55,split,0.84,7.722538055597934
42,55,naive,0.41,1.8323724999955382
42,55,jackknife,0.81,4.342769124196085
42,55,jackknife+,0.81,4.364341162789546
42,55,jackknife-mm,0.87,5.44940624553167
42,55,CV+,0.84,4.970031277477545
42,55,split,0.83,7.716654735718861
43,55,naive,0.6,2.2541029711487686
43,55,jackknife,0.96,4.9355055335189055
43,55,jackknife+,0.96,5.049902389176115
43,55,jackknife-mm,0.99,6.0773396074914565
43,55,CV+,0.98,5.806803806933523
43,55,split,0.84,10.000849067376839
44,55,naive,0.65,2.352005287209047
44,55,jackknife,0.98,5.5893870450041
44,55,jackknife+,0.98,5.574933398743518
44,55,jackknife-mm,1.0,6.944867066497547
44,55,CV+,0.99,6.44909600584342
44,55,split,0.95,13.21769536616536
45,55,naive,0.46,2.0819051886421978
45,55,jackknife,0.81,4.606840209586563
45,55,jackknife+,0.81,4.646468467787803
45,55,jackknife-mm,0.89,5.707328639737662
45,55,CV+,0.89,5.280090162317395
45,55,split,0.93,8.947162433057118
46,55,naive,0.56,2.077679867026212
46,55,jackknife,0.93,5.034786286525516
46,55,jackknife+,0.92,4.955744343874952
46,55,jackknife-mm,0.96,6.194389906137662
46,55,CV+,0.93,5.133448244743004
46,55,split,0.89,10.891018675966968
47,55,naive,0.56,2.1852412398293177
47,55,jackknife,0.95,5.065275718033761
47,55,jackknife+,0.95,5.231732477759224
47,55,jackknife-mm,0.99,6.248827098876901
47,55,CV+,0.99,6.906949194286273
47,55,split,0.99,15.447870762705563
48,55,naive,0.47,2.0303220859695945
48,55,jackknife,0.91,4.863269877675278
48,55,jackknife+,0.9,4.6966373433325375
48,55,jackknife-mm,0.97,6.038049052619881
48,55,CV+,0.92,4.955755354686386
48,55,split,0.89,18.45136205086585
49,55,naive,0.61,2.01016236967942
49,55,jackknife,0.87,4.261908705783866
49,55,jackknife+,0.87,4.285722542643362
49,55,jackknife-mm,0.92,5.37376957376166
49,55,CV+,0.92,5.285382587159898
49,55,split,0.88,12.350361077252575
0,60,naive,0.57,1.8808671380353699
0,60,jackknife,0.94,4.7466557578523405
0,60,jackknife+,0.95,4.716613788383423
0,60,jackknife-mm,0.95,5.941088674723227
0,60,CV+,0.95,5.423295731965629
0,60,split,0.78,7.288963443394859
1,60,naive,0.5,2.091381191860514
1,60,jackknife,0.9,4.760305834581559
1,60,jackknife+,0.9,5.007137684544908
1,60,jackknife-mm,0.96,6.027027964291936
1,60,CV+,0.91,5.7891080679306155
1,60,split,0.94,9.371998598941868
2,60,naive,0.58,2.4400770235700633
2,60,jackknife,0.95,5.555616010169604
2,60,jackknife+,0.93,5.767521182154527
2,60,jackknife-mm,0.97,7.107142338983311
2,60,CV+,0.97,6.992692095362742
2,60,split,0.95,8.68703269641219
3,60,naive,0.49,2.400658719096754
3,60,jackknife,0.88,5.899447561475239
3,60,jackknife+,0.9,6.039153411213207
3,60,jackknife-mm,0.95,7.419238545460352
3,60,CV+,0.95,7.361745680549717
3,60,split,0.91,8.487924062732278
4,60,naive,0.59,2.4956346428578815
4,60,jackknife,0.95,6.81445109066688
4,60,jackknife+,0.95,6.8546791093100525
4,60,jackknife-mm,0.98,8.431051403109473
4,60,CV+,0.98,7.422473271814232
4,60,split,0.94,11.548089921435658
5,60,naive,0.49,1.982373744225432
5,60,jackknife,0.86,5.095853594921619
5,60,jackknife+,0.87,5.009786998609249
5,60,jackknife-mm,0.93,6.468110950207229
5,60,CV+,0.92,5.51896326988635
5,60,split,0.94,8.70928721726458
6,60,naive,0.47,2.3451978242564753
6,60,jackknife,0.95,5.724668242668599
6,60,jackknife+,0.91,5.6442112553101165
6,60,jackknife-mm,0.99,7.164633731163438
6,60,CV+,0.95,5.8712618178085325
6,60,split,0.81,7.427118331987952
7,60,naive,0.51,2.1798274251581784
7,60,jackknife,0.92,5.859399428747605
7,60,jackknife+,0.91,5.695590839836219
7,60,jackknife-mm,0.97,7.299366556270436
7,60,CV+,0.96,7.434240547665022
7,60,split,0.92,9.516312974444334
8,60,naive,0.3,1.5948278853413067
8,60,jackknife,0.71,4.166985219717716
8,60,jackknife+,0.74,4.215582764469927
8,60,jackknife-mm,0.86,5.45426637976137
8,60,CV+,0.84,5.146706617746122
8,60,split,0.86,8.209172898178737
9,60,naive,0.37,1.6804708307239935
9,60,jackknife,0.82,4.327779969732432
9,60,jackknife+,0.83,4.461698352035402
9,60,jackknife-mm,0.89,5.570184543878347
9,60,CV+,0.88,5.3922527042640045
9,60,split,0.86,7.34007590813859
10,60,naive,0.47,1.950663060300969
10,60,jackknife,0.94,4.948395046709547
10,60,jackknife+,0.93,4.914968947022939
10,60,jackknife-mm,0.97,6.260672819171523
10,60,CV+,0.98,6.0821355152896786
10,60,split,0.82,9.852314514788198
11,60,naive,0.61,2.2533630024572533
11,60,jackknife,0.93,5.780763079052234
11,60,jackknife+,0.92,5.811574827099287
11,60,jackknife-mm,1.0,7.394397081960626
11,60,CV+,0.98,7.08368404915058
11,60,split,0.92,8.108107744006245
12,60,naive,0.52,2.508615350136923
12,60,jackknife,0.95,6.386699338398375
12,60,jackknife+,0.95,6.478663087600433
12,60,jackknife-mm,0.98,8.099403236743905
12,60,CV+,1.0,7.783722866772596
12,60,split,0.8,11.133956377857906
13,60,naive,0.46,2.1606592146430814
13,60,jackknife,0.95,5.635780013706491
13,60,jackknife+,0.94,5.586000079169525
13,60,jackknife-mm,0.99,7.120200179368005
13,60,CV+,0.99,7.201485601387991
13,60,split,0.94,8.925328302273662
14,60,naive,0.59,2.017652985489349
14,60,jackknife,0.92,5.1619366136576454
14,60,jackknife+,0.92,5.127903094307772
14,60,jackknife-mm,0.99,6.514245496668035
14,60,CV+,0.97,6.036613210077604
14,60,split,0.93,8.585621034378075
15,60,naive,0.38,1.9109338712438273
15,60,jackknife,0.85,5.774170361278998
15,60,jackknife+,0.84,5.55562548839045
15,60,jackknife-mm,0.94,7.209560928186148
15,60,CV+,0.87,5.819738679802349
15,60,split,0.97,8.437462043961093
16,60,naive,0.52,2.329826669136558
16,60,jackknife,0.93,5.744728078327903
16,60,jackknife+,0.92,5.607457199045104
16,60,jackknife-mm,0.97,7.334938555201976
16,60,CV+,0.96,6.281897729727001
16,60,split,0.89,11.509932259040543
17,60,naive,0.43,1.8409498357602276
17,60,jackknife,0.82,4.489630766603624
17,60,jackknife+,0.81,4.498756686151853
17,60,jackknife-mm,0.92,5.700898202412324
17,60,CV+,0.87,5.118338314312624
17,60,split,0.94,10.349522669112188
18,60,naive,0.49,2.0734418784665736
18,60,jackknife,0.9,5.178320194373568
18,60,jackknife+,0.91,5.35872022165518
18,60,jackknife-mm,0.96,6.5534338508171395
18,60,CV+,0.99,7.054271391880305
18,60,split,0.85,9.998916260931422
19,60,naive,0.49,2.2241259924494363
19,60,jackknife,0.92,5.910852951450919
19,60,jackknife+,0.93,5.720703215431398
19,60,jackknife-mm,0.98,7.283035210180185
19,60,CV+,0.94,6.331344282347354
19,60,split,0.95,10.069124452910138
20,60,naive,0.45,1.7491778288462487
20,60,jackknife,0.78,4.663565655259459
20,60,jackknife+,0.79,4.752367522508551
20,60,jackknife-mm,0.92,6.194292783410045
20,60,CV+,0.95,6.317969070320039
20,60,split,0.91,8.846031589697052
21,60,naive,0.41,1.9590132628134709
21,60,jackknife,0.83,4.573580327903984
21,60,jackknife+,0.84,4.663188246629601
21,60,jackknife-mm,0.89,5.702253742859776
21,60,CV+,0.87,5.2233632212980945
21,60,split,0.84,9.13564476557812
22,60,naive,0.47,1.9149152075418092
22,60,jackknife,0.89,4.564741831823252
22,60,jackknife+,0.91,4.827269303920091
22,60,jackknife-mm,0.95,5.8337733653158566
22,60,CV+,0.96,6.391863549364485
22,60,split,0.85,6.990473679256564
23,60,naive,0.51,1.9919415943867316
23,60,jackknife,0.88,4.932417950086983
23,60,jackknife+,0.9,4.971101035706952
23,60,jackknife-mm,0.95,6.356290145342089
23,60,CV+,0.92,5.343645734264507
23,60,split,0.87,9.572114147316794
24,60,naive,0.39,1.8442036258760204
24,60,jackknife,0.83,4.662204868785112
24,60,jackknife+,0.8,4.58923636456202
24,60,jackknife-mm,0.93,5.88847776719577
24,60,CV+,0.84,4.8859382708297066
24,60,split,0.86,7.114926931339906
25,60,naive,0.51,2.0683649769243355
25,60,jackknife,0.84,5.163769365077724
25,60,jackknife+,0.84,5.187754265738358
25,60,jackknife-mm,0.93,6.559855342421115
25,60,CV+,0.9,6.305770051628702
25,60,split,0.94,11.437079363862285
26,60,naive,0.67,2.3672500793607214
26,60,jackknife,0.95,6.077398392947609
26,60,jackknife+,0.94,5.984153172264037
26,60,jackknife-mm,0.98,7.795014782571591
26,60,CV+,0.97,7.418622241584062
26,60,split,0.95,11.187588156668099
27,60,naive,0.53,2.052333986519551
27,60,jackknife,0.89,4.710660912249467
27,60,jackknife+,0.91,4.850324686890702
27,60,jackknife-mm,0.98,5.956158546702201
27,60,CV+,0.92,5.10876578833439
27,60,split,0.86,5.708402781159638
28,60,naive,0.49,2.0854545381427836
28,60,jackknife,0.95,5.747469258652135
28,60,jackknife+,0.93,5.879744960530072
28,60,jackknife-mm,0.98,7.356394942274934
28,60,CV+,0.96,6.287292752301914
28,60,split,0.94,9.015563078615166
29,60,naive,0.5,1.8619067904459141
29,60,jackknife,0.9,4.6981987639937985
29,60,jackknife+,0.91,4.719158070740522
29,60,jackknife-mm,0.95,5.874732500554557
29,60,CV+,0.95,5.353290759912658
29,60,split,0.93,8.551641882582665
30,60,naive,0.6,2.281250297912324
30,60,jackknife,0.95,6.345659097376373
30,60,jackknife+,0.92,5.903237041054478
30,60,jackknife-mm,1.0,7.986570152979582
30,60,CV+,0.99,7.092971134473135
30,60,split,0.93,10.552619846290092
31,60,naive,0.45,2.3796080146398415
31,60,jackknife,0.95,6.103094360387054
31,60,jackknife+,0.93,5.982563004813593
31,60,jackknife-mm,0.97,7.624630341848907
31,60,CV+,0.96,6.4382461987357225
31,60,split,0.88,9.503745607280251
32,60,naive,0.52,2.1958166404757837
32,60,jackknife,0.95,5.531691534774622
32,60,jackknife+,0.96,5.750856401157519
32,60,jackknife-mm,0.98,6.9211152619920115
32,60,CV+,0.97,6.093951716561879
32,60,split,0.94,7.723475462128934
33,60,naive,0.44,2.141216363613459
33,60,jackknife,0.91,5.274630549906079
33,60,jackknife+,0.91,5.313556405251192
33,60,jackknife-mm,0.95,6.655507091559063
33,60,CV+,0.95,6.358168488794134
33,60,split,0.88,9.301309438352526
34,60,naive,0.55,2.1412444315307435
34,60,jackknife,0.91,5.005005158035882
34,60,jackknife+,0.91,5.121006888274378
34,60,jackknife-mm,0.94,6.437475234601549
34,60,CV+,0.92,5.763082720733443
34,60,split,0.91,7.979633593925664
35,60,naive,0.41,1.9775567890610548
35,60,jackknife,0.83,5.067674331980992
35,60,jackknife+,0.83,5.2195212323259845
35,60,jackknife-mm,0.94,6.435921281514603
35,60,CV+,0.88,5.997696166864244
35,60,split,0.93,11.064830315616948
36,60,naive,0.33,1.6914383629833198
36,60,jackknife,0.76,4.191073109270007
36,60,jackknife+,0.76,4.081525683024898
36,60,jackknife-mm,0.87,5.3715112071046045
36,60,CV+,0.86,4.948938434834008
36,60,split,0.89,6.4921307012996285
37,60,naive,0.44,1.9283599117074146
37,60,jackknife,0.96,4.919717367640872
37,60,jackknife+,0.95,5.003871116840234
37,60,jackknife-mm,0.99,6.162710764531107
37,60,CV+,0.98,5.620427371209798
37,60,split,0.94,10.029356105741696
38,60,naive,0.5,2.104098850250828
38,60,jackknife,0.91,5.134542027937247
38,60,jackknife+,0.91,5.235849607169875
38,60,jackknife-mm,0.98,6.571078930061901
38,60,CV+,0.91,5.462218368428443
38,60,split,0.87,8.274336503928568
39,60,naive,0.68,2.4272090410637484
39,60,jackknife,0.98,5.856618465925911
39,60,jackknife+,0.98,5.8614586546017655
39,60,jackknife-mm,0.99,7.393316355123171
39,60,CV+,0.99,6.964097420700423
39,60,split,0.95,11.239391005288532
40,60,naive,0.35,2.158278323639387
40,60,jackknife,0.81,5.291466260011187
40,60,jackknife+,0.79,5.278437629662977
40,60,jackknife-mm,0.92,6.640520867265915
40,60,CV+,0.85,6.1225460746876195
40,60,split,0.91,8.076748943246237
41,60,naive,0.36,1.8599061878050214
41,60,jackknife,0.88,4.823263575793066
41,60,jackknife+,0.85,4.644756809408842
41,60,jackknife-mm,0.93,5.916473291492782
41,60,CV+,0.89,5.082042253086865
41,60,split,0.91,9.36630920803293
42,60,naive,0.44,1.5519592495473251
42,60,jackknife,0.83,4.093477822733986
42,60,jackknife+,0.84,4.2061740197840685
42,60,jackknife-mm,0.95,5.287315253820687
42,60,CV+,0.96,5.310981882007541
42,60,split,0.9,7.483805756786299
43,60,naive,0.66,2.8733066342264477
43,60,jackknife,0.94,6.76341431442928
43,60,jackknife+,0.94,6.695748719637418
43,60,jackknife-mm,0.99,8.474703069744686
43,60,CV+,0.95,7.580995333202103
43,60,split,0.92,9.534258567974234
44,60,naive,0.52,1.9363613879459294
44,60,jackknife,0.92,5.009566250487766
44,60,jackknife+,0.91,5.002115799821741
44,60,jackknife-mm,0.99,6.377504254478003
44,60,CV+,0.94,5.628081400545105
44,60,split,0.88,8.206729276697722
45,60,naive,0.55,2.2880135652207456
45,60,jackknife,0.95,6.160314282632736
45,60,jackknife+,0.96,6.117855791737042
45,60,jackknife-mm,0.99,7.556652620985077
45,60,CV+,1.0,7.151851437834783
45,60,split,0.99,12.243956924648877
46,60,naive,0.47,2.412644837014803
46,60,jackknife,0.88,5.838990527130658
46,60,jackknife+,0.88,5.736519252329867
46,60,jackknife-mm,0.94,7.343384213071434
46,60,CV+,0.91,6.909385878414334
46,60,split,0.94,10.251332385418777
47,60,naive,0.42,1.9695340699254322
47,60,jackknife,0.92,5.289888882206645
47,60,jackknife+,0.92,5.305334567184372
47,60,jackknife-mm,0.98,6.703753369041306
47,60,CV+,0.96,6.251022059883021
47,60,split,0.92,10.597859165403323
48,60,naive,0.52,1.7952847622010981
48,60,jackknife,0.9,4.157897160128544
48,60,jackknife+,0.92,4.337299161696874
48,60,jackknife-mm,0.96,5.273691515721534
48,60,CV+,0.95,4.988485048134577
48,60,split,0.93,6.502558564112409
49,60,naive,0.56,2.472957526312769
49,60,jackknife,0.96,7.175337941079534
49,60,jackknife+,0.96,7.038878992422213
49,60,jackknife-mm,1.0,9.02081845284211
49,60,CV+,0.98,7.743341689379553
49,60,split,0.79,7.861710131853748
0,65,naive,0.59,2.610350172747305
0,65,jackknife,0.99,7.651466839047856
0,65,jackknife+,0.99,7.693274424709956
0,65,jackknife-mm,1.0,9.959651285185288
0,65,CV+,1.0,9.482295849572637
0,65,split,0.88,11.244647437579026
1,65,naive,0.51,1.7798841745766085
1,65,jackknife,0.89,4.893278275385854
1,65,jackknife+,0.88,5.021837863303142
1,65,jackknife-mm,0.94,6.436922555013933
1,65,CV+,0.94,6.472710580556987
1,65,split,0.9,7.290643473914316
2,65,naive,0.46,2.04407185143817
2,65,jackknife,0.93,5.552037088564094
2,65,jackknife+,0.93,5.819890450293038
2,65,jackknife-mm,0.96,7.221615972032482
2,65,CV+,0.95,6.993705776054626
2,65,split,0.95,8.815585254144455
3,65,naive,0.35,1.6545841226012805
3,65,jackknife,0.8,4.845135477508163
3,65,jackknife+,0.79,4.724187044113493
3,65,jackknife-mm,0.92,6.134385121824843
3,65,CV+,0.88,5.64496742304567
3,65,split,0.91,9.802319950123183
4,65,naive,0.44,2.2233914381296516
4,65,jackknife,0.96,6.850207683834509
4,65,jackknife+,0.96,6.974453470429418
4,65,jackknife-mm,0.99,8.991911904298469
4,65,CV+,0.97,7.960007290327323
4,65,split,0.95,12.287431309551037
5,65,naive,0.56,2.1578236524438523
5,65,jackknife,0.89,5.49871637071446
5,65,jackknife+,0.92,5.873605465188713
5,65,jackknife-mm,0.99,7.133356030362089
5,65,CV+,0.99,7.41919231977844
5,65,split,0.88,8.729362195885194
6,65,naive,0.32,1.7312795875956803
6,65,jackknife,0.85,5.1357678057210014
6,65,jackknife+,0.86,5.142951313416852
6,65,jackknife-mm,0.9,6.772749534053918
6,65,CV+,0.89,6.175085328682326
6,65,split,0.89,7.004140114160196
7,65,naive,0.39,1.9702564373904747
7,65,jackknife,0.83,5.858426174224304
7,65,jackknife+,0.81,5.691921946886186
7,65,jackknife-mm,0.93,7.44074604120922
7,65,CV+,0.89,6.795127178285205
7,65,split,0.97,8.922724205424517
8,65,naive,0.34,1.7632587351167688
8,65,jackknife,0.85,5.1606612079465455
8,65,jackknife+,0.84,5.209886548540445
8,65,jackknife-mm,0.93,6.7788631718267585
8,65,CV+,1.0,8.389078484137341
8,65,split,0.86,8.10349700281438
9,65,naive,0.52,2.2558733426825954
9,65,jackknife,0.97,6.023130497221171
9,65,jackknife+,0.97,6.206048574579386
9,65,jackknife-mm,0.99,7.742600377812404
9,65,CV+,0.99,6.771919501049328
9,65,split,0.95,9.144389009209362
10,65,naive,0.57,2.211524378652221
10,65,jackknife,0.93,5.846771129861732
10,65,jackknife+,0.94,6.159326635861915
10,65,jackknife-mm,0.97,7.70054428388013
10,65,CV+,1.0,9.21210962469831
10,65,split,0.94,9.370595455683913
11,65,naive,0.47,2.298387524963062
11,65,jackknife,0.91,6.537018705398437
11,65,jackknife+,0.92,6.594905289601102
11,65,jackknife-mm,0.99,8.542584748659609
11,65,CV+,0.98,7.7382753273308715
11,65,split,0.79,9.25258534923327
12,65,naive,0.56,2.376291756249173
12,65,jackknife,0.96,6.978761963703838
12,65,jackknife+,0.95,7.121076929566096
12,65,jackknife-mm,1.0,9.047824609479425
12,65,CV+,0.98,7.756560057718804
12,65,split,0.94,10.133627784453983
13,65,naive,0.44,1.8646946458899922
13,65,jackknife,0.92,5.888077873055065
13,65,jackknife+,0.9,5.86340002896275
13,65,jackknife-mm,0.97,7.602677018182049
13,65,CV+,0.97,7.318953148706527
13,65,split,0.93,8.662595365009652
14,65,naive,0.35,1.6737675007191775
14,65,jackknife,0.85,5.393862139490794
14,65,jackknife+,0.85,5.252252312574311
14,65,jackknife-mm,0.92,6.821492284017678
14,65,CV+,0.95,6.690561785494141
14,65,split,0.86,7.989145759195744
15,65,naive,0.45,1.9518084328988983
15,65,jackknife,0.89,5.79557665956895
15,65,jackknife+,0.87,5.63757467448808
15,65,jackknife-mm,0.96,7.329420295536373
15,65,CV+,0.93,6.923841120138672
15,65,split,0.93,7.29975036720282
16,65,naive,0.46,1.8623579646906276
16,65,jackknife,0.88,4.845890486658376
16,65,jackknife+,0.88,4.833119100937386
16,65,jackknife-mm,0.97,6.252555972388727
16,65,CV+,0.95,5.736999770197113
16,65,split,0.87,8.70552940337055
17,65,naive,0.53,2.2514207811602778
17,65,jackknife,0.99,6.785521163750912
17,65,jackknife+,1.0,6.878837344854145
17,65,jackknife-mm,1.0,8.763318315890006
17,65,CV+,1.0,7.644162198427754
17,65,split,0.96,12.48761334908804
18,65,naive,0.53,1.9981645750675139
18,65,jackknife,0.89,5.516069140072607
18,65,jackknife+,0.91,5.733775984761527
18,65,jackknife-mm,0.95,7.138164166637009
18,65,CV+,0.96,7.11812363445826
18,65,split,0.97,11.485280366873344
19,65,naive,0.41,1.8766713410016371
19,65,jackknife,0.94,5.647115124066103
19,65,jackknife+,0.94,5.687146193412852
19,65,jackknife-mm,0.98,7.249457863753724
19,65,CV+,0.99,7.357317115893316
19,65,split,0.93,8.58850126366007
20,65,naive,0.42,2.085853280989078
20,65,jackknife,0.93,6.215001642044635
20,65,jackknife+,0.93,6.247776158973016
20,65,jackknife-mm,0.99,7.989634892190349
20,65,CV+,1.0,9.003704469611915
20,65,split,0.94,11.028405157807377
21,65,naive,0.55,1.952347689011336
21,65,jackknife,0.95,5.364967444755279
21,65,jackknife+,0.95,5.464462318336725
21,65,jackknife-mm,0.98,7.00456837678519
21,65,CV+,0.97,7.093727514015723
21,65,split,0.8,5.733270427485349
22,65,naive,0.48,2.0937575741222094
22,65,jackknife,0.95,6.7098946505638075
22,65,jackknife+,0.95,6.559293870489797
22,65,jackknife-mm,0.99,8.734816971789245
22,65,CV+,0.97,7.945173649264109
22,65,split,0.95,11.04925328466164
23,65,naive,0.49,1.9717394546297755
23,65,jackknife,0.92,5.646314359496907
23,65,jackknife+,0.94,5.748331686024231
23,65,jackknife-mm,0.97,7.12779825051623
23,65,CV+,0.99,7.259088784155097
23,65,split,0.93,8.60105264128194
24,65,naive,0.42,2.09018022941559
24,65,jackknife,0.9,5.678600390983899
24,65,jackknife+,0.9,5.968067348750384
24,65,jackknife-mm,0.97,7.458506518563418
24,65,CV+,0.9,6.016862923129725
24,65,split,0.87,6.629196569469139
25,65,naive,0.48,2.3545155037325283
25,65,jackknife,0.91,6.33294678655682
25,65,jackknife+,0.92,6.523401692563517
25,65,jackknife-mm,0.98,8.20433852899718
25,65,CV+,0.97,7.791840289797781
25,65,split,0.87,7.553023371344048
26,65,naive,0.4,1.8194897014660216
26,65,jackknife,0.87,4.83405623828996
26,65,jackknife+,0.86,4.917121172362123
26,65,jackknife-mm,0.95,6.4295618281741085
26,65,CV+,0.95,5.703836921764023
26,65,split,0.83,7.299493056313427
27,65,naive,0.31,2.06549345402658
27,65,jackknife,0.84,5.751179954013875
27,65,jackknife+,0.84,5.616983259134312
27,65,jackknife-mm,0.93,7.360764612913027
27,65,CV+,0.91,6.20018605239973
27,65,split,0.92,8.307556369080055
28,65,naive,0.45,1.757181984149487
28,65,jackknife,0.85,4.7886135159748315
28,65,jackknife+,0.85,4.832391259054312
28,65,jackknife-mm,0.97,6.227028053614809
28,65,CV+,0.97,6.3855805029333945
28,65,split,0.89,7.64681555105395
29,65,naive,0.39,2.072889138832549
29,65,jackknife,0.93,6.523544512008924
29,65,jackknife+,0.94,6.838024744183691
29,65,jackknife-mm,0.97,8.520933265269916
29,65,CV+,0.95,9.006080352774516
29,65,split,0.91,9.847618712428243
30,65,naive,0.49,1.828384253445716
30,65,jackknife,0.94,5.297379222186298
30,65,jackknife+,0.94,5.24275828914708
30,65,jackknife-mm,0.98,6.983471176049169
30,65,CV+,0.98,6.286136835898113
30,65,split,0.86,7.853591272399747
31,65,naive,0.4,1.899494097489205
31,65,jackknife,0.91,5.817875631225889
31,65,jackknife+,0.87,5.479088603331953
31,65,jackknife-mm,0.94,7.548107619058061
31,65,CV+,0.93,6.180188415358151
31,65,split,0.94,9.556990811178819
32,65,naive,0.49,1.6525496927987688
32,65,jackknife,0.94,5.255841320068671
32,65,jackknife+,0.95,5.414178952049234
32,65,jackknife-mm,0.99,6.866318409775814
32,65,CV+,0.97,5.841707826647362
32,65,split,0.88,7.816723329667298
33,65,naive,0.41,1.772382633743944
33,65,jackknife,0.92,5.242544848197153
33,65,jackknife+,0.93,5.309979334596542
33,65,jackknife-mm,0.96,6.857059318900788
33,65,CV+,0.97,6.737914771326744
33,65,split,0.94,9.609206582155107
34,65,naive,0.55,1.8234379196114576
34,65,jackknife,0.97,5.301828064755004
34,65,jackknife+,0.97,5.396321548914337
34,65,jackknife-mm,0.99,6.735111889248138
34,65,CV+,0.98,5.900633110906781
34,65,split,0.98,9.38717878975274
35,65,naive,0.44,2.220284553669247
35,65,jackknife,0.91,5.977948050544919
35,65,jackknife+,0.92,6.068058762163849
35,65,jackknife-mm,0.99,7.670829939002822
35,65,CV+,0.97,7.286299839350266
35,65,split,0.96,10.819665973865538
36,65,naive,0.44,1.7612376419031452
36,65,jackknife,0.92,5.291324941913557
36,65,jackknife+,0.92,5.432095423336433
36,65,jackknife-mm,0.98,6.86657264184853
36,65,CV+,0.95,6.580451336049963
36,65,split,0.99,8.941091847121495
37,65,naive,0.38,1.6302032438457104
37,65,jackknife,0.85,4.580453713148064
37,65,jackknife+,0.87,4.813038319329993
37,65,jackknife-mm,0.96,5.977191357857448
37,65,CV+,0.99,6.971320362890435
37,65,split,0.91,10.70685685399871
38,65,naive,0.39,1.4710127266307138
38,65,jackknife,0.86,4.643343720112568
38,65,jackknife+,0.88,4.633666389433094
38,65,jackknife-mm,0.94,6.077861452851101
38,65,CV+,0.94,5.640238192951038
38,65,split,0.88,6.490775569162339
39,65,naive,0.5,2.0922705891036144
39,65,jackknife,0.9,5.75095920891162
39,65,jackknife+,0.91,6.110817752270081
39,65,jackknife-mm,0.96,7.566755578481877
39,65,CV+,0.95,7.014173136767465
39,65,split,0.96,8.854339716891074
40,65,naive,0.61,2.306964605653519
40,65,jackknife,0.91,6.172533352428254
40,65,jackknife+,0.94,6.312575415273018
40,65,jackknife-mm,0.99,8.013804297234488
40,65,CV+,0.97,7.369881989323476
40,65,split,0.92,8.744558258608693
41,65,naive,0.36,1.652111169279206
41,65,jackknife,0.85,5.416255408454792
41,65,jackknife+,0.83,5.337661143082799
41,65,jackknife-mm,0.94,6.884150736153573
41,65,CV+,0.84,5.178733412024859
41,65,split,0.91,7.7707937468564205
42,65,naive,0.38,1.7966780043858719
42,65,jackknife,0.95,6.370045683987359
42,65,jackknife+,0.94,5.90625088920126
42,65,jackknife-mm,0.97,8.1911142841644
42,65,CV+,0.95,6.765037997300576
42,65,split,0.91,8.494543627768762
43,65,naive,0.28,1.5369352787168276
43,65,jackknife,0.69,4.246226930883548
43,65,jackknife+,0.69,4.202630317529522
43,65,jackknife-mm,0.81,5.459560541025618
43,65,CV+,0.84,5.788749434064195
43,65,split,0.98,8.901588165508663
44,65,naive,0.38,1.9518731929250357
44,65,jackknife,0.87,5.513015080463687
44,65,jackknife+,0.88,5.631234941631308
44,65,jackknife-mm,0.95,7.022843794497501
44,65,CV+,0.96,6.9153117087784715
44,65,split,0.89,7.716203390401604
45,65,naive,0.49,1.9607561407980827
45,65,jackknife,0.95,5.8688217109138385
45,65,jackknife+,0.94,5.9591657893811005
45,65,jackknife-mm,0.99,7.422130319295434
45,65,CV+,0.97,6.911495214600349
45,65,split,0.88,7.0170376251971796
46,65,naive,0.49,2.2074771972449985
46,65,jackknife,0.97,5.7872273531833525
46,65,jackknife+,0.97,6.041860376470304
46,65,jackknife-mm,0.99,7.641204652562728
