itrial,d,method,coverage,width
26,5,split,0.91,3.638464000806932
27,5,naive,0.87,3.45537186226282
27,5,jackknife,0.89,3.5368966150334495
27,5,jackknife+,0.89,3.5405700861729525
27,5,jackknife-mm,0.9,3.6852576011377427
27,5,CV+,0.86,3.382329037307953
27,5,split,0.92,3.9454960209536525
28,5,naive,0.93,3.2888544544542606
28,5,jackknife,0.93,3.4456387136601565
28,5,jackknife+,0.94,3.454295559186609
28,5,jackknife-mm,0.94,3.600838827263315
28,5,CV+,0.94,3.3957372905213985
28,5,split,0.9,3.4093512728155333
29,5,naive,0.87,3.209432575436004
29,5,jackknife,0.87,3.336566998812545
29,5,jackknife+,0.87,3.317474849009031
29,5,jackknife-mm,0.91,3.46374766755814
29,5,CV+,0.87,3.2958656991738677
29,5,split,0.91,3.3111492865072574
30,5,naive,0.95,3.4531765728521977
30,5,jackknife,0.96,3.6613921192609578
30,5,jackknife+,0.96,3.6471366306617465
30,5,jackknife-mm,0.97,3.8561394605462804
30,5,CV+,0.96,3.661386893908164
30,5,split,0.98,3.820155034462972
31,5,naive,0.93,3.4929870842891715
31,5,jackknife,0.93,3.572303449613742
31,5,jackknife+,0.93,3.6218755850724342
31,5,jackknife-mm,0.93,3.7380342795924637
31,5,CV+,0.94,3.678967210685627
31,5,split,0.9,3.5136737808166822
32,5,naive,0.97,3.4429559223895
32,5,jackknife,0.97,3.605117838823964
32,5,jackknife+,0.97,3.6172107389361785
32,5,jackknife-mm,0.98,3.838120783676256
32,5,CV+,0.98,3.6410984371309434
32,5,split,0.99,4.778186500306064
33,5,naive,0.81,3.0829772427903595
33,5,jackknife,0.85,3.19206667651366
33,5,jackknife+,0.86,3.2393597297231533
33,5,jackknife-mm,0.88,3.3408677890912832
33,5,CV+,0.88,3.3789183040332333
33,5,split,0.8,2.963809764017446
34,5,naive,0.92,3.384116179253583
34,5,jackknife,0.95,3.6360922617377214
34,5,jackknife+,0.95,3.6364787984307014
34,5,jackknife-mm,0.95,3.822496460167837
34,5,CV+,0.95,3.5938226508456936
34,5,split,0.95,3.974433377772485
35,5,naive,0.9,3.524769589442423
35,5,jackknife,0.9,3.6601954339728304
35,5,jackknife+,0.9,3.6628825165984336
35,5,jackknife-mm,0.92,3.85640717377497
35,5,CV+,0.94,4.06491372131841
35,5,split,0.93,4.106832072343651
36,5,naive,0.92,3.4514461978046707
36,5,jackknife,0.93,3.5847216263935398
36,5,jackknife+,0.93,3.5786336388603512
36,5,jackknife-mm,0.94,3.739858797216322
36,5,CV+,0.94,3.580344274293344
36,5,split,0.91,3.4698636038908166
37,5,naive,0.86,3.13445612600629
37,5,jackknife,0.87,3.3612164618636093
37,5,jackknife+,0.87,3.342518131198411
37,5,jackknife-mm,0.88,3.556465274810936
37,5,CV+,0.87,3.347785895068457
37,5,split,0.91,3.720154364333608
38,5,naive,0.8,2.9235672051820285
38,5,jackknife,0.84,3.0617271577263176
38,5,jackknife+,0.84,3.0764531122150824
38,5,jackknife-mm,0.84,3.240427179637294
38,5,CV+,0.81,3.016037344990057
38,5,split,0.81,3.0448694959435385
39,5,naive,0.82,2.957899530208901
39,5,jackknife,0.87,3.1182257474791335
39,5,jackknife+,0.87,3.1153090339210565
39,5,jackknife-mm,0.88,3.2646451403914227
39,5,CV+,0.84,3.139894120763364
39,5,split,0.89,3.6761762205293587
