itrial,dataset,muh_fun,method,coverage,width
0,life,leastsq_ridge,naive,0.9121725731895224,29.506695928244337
0,life,leastsq_ridge,jackknife,0.9137134052388289,29.537426697544277
0,life,leastsq_ridge,jackknife+,0.9121725731895224,29.537426697544277
0,life,leastsq_ridge,jackknife-mm,0.9152542372881356,29.58670416928788
0,life,leastsq_ridge,CV+,0.9121725731895224,29.335615905364655
0,life,leastsq_ridge,split,0.9306625577812019,31.922064785024315
1,life,leastsq_ridge,naive,0.8798151001540832,28.15240128608795
1,life,leastsq_ridge,jackknife,0.8798151001540832,28.191176040334568
1,life,leastsq_ridge,jackknife+,0.8798151001540832,28.19215827333034
1,life,leastsq_ridge,jackknife-mm,0.8798151001540832,28.24740398561778
1,life,leastsq_ridge,CV+,0.8798151001540832,28.190486923745908
1,life,leastsq_ridge,split,0.884437596302003,28.07398862698713
2,life,leastsq_ridge,naive,0.9060092449922958,28.918300853656117
2,life,leastsq_ridge,jackknife,0.9060092449922958,28.948157075075358
2,life,leastsq_ridge,jackknife+,0.9060092449922958,28.948148255686515
2,life,leastsq_ridge,jackknife-mm,0.9060092449922958,29.006156750109785
2,life,leastsq_ridge,CV+,0.9060092449922958,28.96531597882159
2,life,leastsq_ridge,split,0.8952234206471494,27.721737436458923
3,life,leastsq_ridge,naive,0.9198767334360555,29.580927561073906
3,life,leastsq_ridge,jackknife,0.9198767334360555,29.610704905098352
3,life,leastsq_ridge,jackknife+,0.9198767334360555,29.610723608999642
3,life,leastsq_ridge,jackknife-mm,0.9198767334360555,29.664457261648234
3,life,leastsq_ridge,CV+,0.9198767334360555,29.615929686005963
3,life,leastsq_ridge,split,0.9214175654853621,30.823418760755796
4,life,leastsq_ridge,naive,0.889060092449923,28.102381171292652
4,life,leastsq_ridge,jackknife,0.8906009244992296,28.13151475587364
4,life,leastsq_ridge,jackknife+,0.889060092449923,28.131634416201567
4,life,leastsq_ridge,jackknife-mm,0.8906009244992296,28.188564203842322
4,life,leastsq_ridge,CV+,0.889060092449923,28.224635554159324
4,life,leastsq_ridge,split,0.8952234206471494,28.797030049136414
0,life,autogluon_rf,naive,0.7087827426810478,2.954007863998413
0,life,autogluon_rf,jackknife,0.8875192604006163,6.412673473358154
0,life,autogluon_rf,jackknife+,0.9029275808936826,6.459235962807489
0,life,autogluon_rf,jackknife-mm,0.9352850539291218,7.725535282552334
0,life,autogluon_rf,CV+,0.8983050847457628,6.844499037262103
0,life,autogluon_rf,split,0.8782742681047766,7.645332336425781
1,life,autogluon_rf,naive,0.7627118644067796,3.44732666015625
1,life,autogluon_rf,jackknife,0.8967642526964561,6.661989212036133
1,life,autogluon_rf,jackknife+,0.9060092449922958,6.71837015254839
1,life,autogluon_rf,jackknife-mm,0.9445300462249615,7.920447476802885
1,life,autogluon_rf,CV+,0.9029275808936826,6.768173187208838
1,life,autogluon_rf,split,0.9106317411402157,7.315996170043945
2,life,autogluon_rf,naive,0.699537750385208,3.048004150390625
2,life,autogluon_rf,jackknife,0.9044684129429892,6.336670398712158
2,life,autogluon_rf,jackknife+,0.9229583975346687,6.518261444844158
2,life,autogluon_rf,jackknife-mm,0.9491525423728814,7.7490154037122805
2,life,autogluon_rf,CV+,0.9214175654853621,6.8406554082509
2,life,autogluon_rf,split,0.9121725731895224,8.466659545898438
3,life,autogluon_rf,naive,0.7149460708782742,3.3040008544921875
3,life,autogluon_rf,jackknife,0.9075500770416025,6.736006259918213
3,life,autogluon_rf,jackknife+,0.9029275808936826,6.808403825098632
3,life,autogluon_rf,jackknife-mm,0.9352850539291218,8.083358556574035
3,life,autogluon_rf,CV+,0.901386748844376,6.690780432749603
3,life,autogluon_rf,split,0.9029275808936826,8.74200439453125
4,life,autogluon_rf,naive,0.7642526964560863,3.1546630859375
4,life,autogluon_rf,jackknife,0.9075500770416025,6.736663818359375
4,life,autogluon_rf,jackknife+,0.9060092449922958,6.826264358779132
4,life,autogluon_rf,jackknife-mm,0.9460708782742681,8.099952875263691
4,life,autogluon_rf,CV+,0.9183359013867488,7.369790513048919
4,life,autogluon_rf,split,0.8921417565485362,7.736666679382324
0,life,autogluon_nn,naive,0.7473035439137135,4.4485015869140625
0,life,autogluon_nn,jackknife,0.9198767334360555,8.980804443359375
0,life,autogluon_nn,jackknife+,0.9352850539291218,9.336021877106605
0,life,autogluon_nn,jackknife-mm,0.9830508474576272,14.976151100476093
0,life,autogluon_nn,CV+,0.9476117103235747,10.083010528047206
0,life,autogluon_nn,split,0.9152542372881356,10.67658805847168
1,life,autogluon_nn,naive,0.7642526964560863,5.1111602783203125
1,life,autogluon_nn,jackknife,0.9291217257318952,9.207305908203125
1,life,autogluon_nn,jackknife+,0.9229583975346687,9.667819662931704
1,life,autogluon_nn,jackknife-mm,0.9861325115562404,15.65481884784434
1,life,autogluon_nn,CV+,0.9275808936825886,9.872719555165624
1,life,autogluon_nn,split,0.8936825885978429,10.519655227661133
2,life,autogluon_nn,naive,0.7781201848998459,5.73065185546875
2,life,autogluon_nn,jackknife,0.8721109399075501,8.396636962890625
2,life,autogluon_nn,jackknife+,0.9167950693374423,9.055245075901777
2,life,autogluon_nn,jackknife-mm,0.9707241910631741,14.512556518648745
2,life,autogluon_nn,CV+,0.9198767334360555,9.169679167384544
2,life,autogluon_nn,split,0.8828967642526965,9.563753128051758
3,life,autogluon_nn,naive,0.7966101694915254,6.408889293670654
3,life,autogluon_nn,jackknife,0.8813559322033898,8.745941162109375
3,life,autogluon_nn,jackknife+,0.9291217257318952,9.298658402124062
3,life,autogluon_nn,jackknife-mm,0.975346687211094,14.78808687794925
3,life,autogluon_nn,CV+,0.938366718027735,9.731315472901143
3,life,autogluon_nn,split,0.9183359013867488,10.975004196166992
4,life,autogluon_nn,naive,0.7010785824345146,4.67219352722168
4,life,autogluon_nn,jackknife,0.864406779661017,7.977083206176758
4,life,autogluon_nn,jackknife+,0.8952234206471494,8.652581443845397
4,life,autogluon_nn,jackknife-mm,0.9661016949152542,13.935889391318682
4,life,autogluon_nn,CV+,0.901386748844376,8.707479162465994
4,life,autogluon_nn,split,0.8736517719568567,10.200254440307617
0,life,autogluon_fastai,naive,0.8320493066255779,6.099700927734375
0,life,autogluon_fastai,jackknife,0.8690292758089369,7.5148186683654785
0,life,autogluon_fastai,jackknife+,0.8952234206471494,7.800819545093415
0,life,autogluon_fastai,jackknife-mm,0.9568567026194145,11.759772410341336
0,life,autogluon_fastai,CV+,0.8983050847457628,8.75419536290808
0,life,autogluon_fastai,split,0.8736517719568567,10.44257926940918
1,life,autogluon_fastai,naive,0.8505392912172574,6.327131748199463
1,life,autogluon_fastai,jackknife,0.8813559322033898,7.616027355194092
1,life,autogluon_fastai,jackknife+,0.9121725731895224,8.009996365398766
1,life,autogluon_fastai,jackknife-mm,0.9614791987673343,11.965615670743452
1,life,autogluon_fastai,CV+,0.9137134052388289,8.87234386802638
1,life,autogluon_fastai,split,0.9075500770416025,12.127960205078125
2,life,autogluon_fastai,naive,0.8351309707241911,6.0029144287109375
2,life,autogluon_fastai,jackknife,0.9106317411402157,8.414398193359375
2,life,autogluon_fastai,jackknife+,0.9244992295839753,8.523681516015474
2,life,autogluon_fastai,jackknife-mm,0.963020030816641,12.597328081410167
