itrial,dataset,muh_fun,method,coverage,width
0,life,leastsq_ridge,naive,0.9034157832744405,29.172411471144645
0,life,leastsq_ridge,jackknife,0.9045936395759717,29.210251227969916
0,life,leastsq_ridge,jackknife+,0.9045936395759717,29.193416424153693
0,life,leastsq_ridge,jackknife-mm,0.9081272084805654,29.271039685015822
0,life,leastsq_ridge,CV+,0.9034157832744405,29.123779088548584
0,life,leastsq_ridge,split,0.9163722025912838,31.27194447019055
0,life,autogluon_rf,naive,0.7102473498233216,3.339996099472046
0,life,autogluon_rf,jackknife,0.889281507656066,6.8499908447265625
0,life,autogluon_rf,jackknife+,0.8963486454652533,6.920881528820672
0,life,autogluon_rf,jackknife-mm,0.9269729093050648,8.228794471731725
0,life,autogluon_rf,CV+,0.8987043580683156,7.05657600429791
0,life,autogluon_rf,split,0.8916372202591284,7.634003162384033
0,life,autogluon_nn,naive,0.7444051825677267,5.661370754241943
0,life,autogluon_nn,jackknife,0.8751472320376914,9.11224365234375
0,life,autogluon_nn,jackknife+,0.9199057714958775,9.80551991187501
0,life,autogluon_nn,jackknife-mm,0.983510011778563,15.907785296580537
0,life,autogluon_nn,CV+,0.9246171967020024,10.094617940230982
0,life,autogluon_nn,split,0.8833922261484098,11.555145263671875
0,life,autogluon_fastai,naive,0.8468786808009423,6.325655460357666
0,life,autogluon_fastai,jackknife,0.9387514723203769,9.309112548828125
0,life,autogluon_fastai,jackknife+,0.9387514723203769,9.578945646971219
0,life,autogluon_fastai,jackknife-mm,0.9870435806831567,14.363948753725383
0,life,autogluon_fastai,CV+,0.9411071849234394,9.811214340982788
0,life,autogluon_fastai,split,0.9222614840989399,11.188385009765625
0,life,autogluon_xgboost,naive,0.49469964664310956,1.6888713836669922
0,life,autogluon_xgboost,jackknife,0.9093050647820966,6.6762237548828125
0,life,autogluon_xgboost,jackknife+,0.9269729093050648,6.928219335800907
0,life,autogluon_xgboost,jackknife-mm,0.9787985865724381,10.353111294048835
0,life,autogluon_xgboost,CV+,0.9293286219081273,7.543545764972521
0,life,autogluon_xgboost,split,0.9222614840989399,8.472488403320312
0,life,autogluon_cat,naive,0.7385159010600707,3.576385498046875
0,life,autogluon_cat,jackknife,0.8786808009422851,6.0627288818359375
0,life,autogluon_cat,jackknife+,0.8975265017667845,6.292075167275149
0,life,autogluon_cat,jackknife-mm,0.934040047114252,8.453976010883082
0,life,autogluon_cat,CV+,0.9022379269729093,6.51799664896144
0,life,autogluon_cat,split,0.8928150765606596,8.040374755859375
